domain,temp,atemp,hum,windspeed,cnt
0,0.24,0.2879,0.81,0.0,0.12797133763019677
0,0.22,0.2727,0.8,0.0,0.2023404510649182
0,0.22,0.2727,0.8,0.0,0.18097880127165072
0,0.24,0.2879,0.75,0.0,0.11535180490384721
0,0.24,0.2879,0.75,0.0,0.031992834407549194
0,0.24,0.2576,0.75,0.0896,0.031992834407549194
0,0.22,0.2727,0.8,0.0,0.04524470031791268
0,0.2,0.2576,0.86,0.0,0.05541321467201295
0,0.24,0.2879,0.75,0.0,0.09048940063582536
0,0.32,0.3485,0.76,0.0,0.11970622518484196
0,0.38,0.3939,0.76,0.2537,0.19195700644529518
0,0.36,0.3333,0.81,0.2836,0.23941245036968392
0,0.42,0.4242,0.77,0.2836,0.2932191707375637
0,0.46,0.4545,0.72,0.2985,0.31018203787826465
0,0.46,0.4545,0.72,0.2836,0.3293863902219695
0,0.44,0.4394,0.77,0.2985,0.33554367804680063
0,0.42,0.4242,0.82,0.2985,0.3085277218806834
0,0.44,0.4394,0.82,0.2836,0.2618726357978891
0,0.42,0.4242,0.88,0.2537,0.18927216084255558
0,0.42,0.4242,0.88,0.2537,0.1946048143722759
0,0.4,0.4091,0.87,0.2537,0.19195700644529518
0,0.4,0.4091,0.87,0.194,0.18654867841017092
0,0.4,0.4091,0.94,0.2239,0.16929016715689127
0,0.46,0.4545,0.88,0.2985,0.19979518683823613
0,0.46,0.4545,0.88,0.2985,0.13190983552522034
0,0.44,0.4394,0.94,0.2537,0.13190983552522034
0,0.42,0.4242,1.0,0.2836,0.09597850322264759
0,0.46,0.4545,0.94,0.194,0.07836611972385249
0,0.46,0.4545,0.94,0.194,0.05541321467201295
0,0.42,0.4242,0.77,0.2985,0.04524470031791268
0,0.4,0.4091,0.76,0.194,0.031992834407549194
0,0.4,0.4091,0.71,0.2239,0.09048940063582536
0,0.38,0.3939,0.76,0.2239,0.14307630505634844
0,0.36,0.3485,0.81,0.2239,0.23291135015651293
0,0.36,0.3333,0.71,0.2537,0.267671256843204
0,0.36,0.3333,0.66,0.2985,0.3085277218806834
0,0.36,0.3485,0.66,0.1343,0.2770660733600648
0,0.36,0.3485,0.76,0.194,0.245741623971811
0,0.34,0.3333,0.81,0.1642,0.27521276778837117
